movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeMinutes,ratingCategory,genres
tt7752126,153,Brightburn,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",2019,117000,6.1,90,R,"Drama,Horror,Mystery"
tt6911608,151,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",2018,118000,6.6,114,PG-13,"Comedy,Musical,Romance"
tt4530422,155,Overlord,Overlord,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,2018,114000,6.6,110,R,"Action,Horror,Sci-Fi"
tt8613070,145,Portrait of a Lady on Fire,Portrait of a Lady on Fire,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",2019,123000,8.0,122,R,"Drama,Romance"
tt4218572,163,Widows,Widows,Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.,2018,108000,6.8,129,R,"Crime,Drama,Thriller"
tt8267604,147,Capernaum,Capernaum,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018,120000,8.4,126,R,Drama
tt8580274,164,Eurovision Song Contest: The Story of Fire Saga,Eurovision Song Contest: The Story of Fire Saga,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",2020,108000,6.5,123,PG-13,"Comedy,Music"
tt2481498,159,"Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",2019,111000,6.7,110,R,"Biography,Crime,Drama"
tt8108198,156,Andhadhun,Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",2018,112000,8.2,139,Not Rated,"Crime,Mystery,Thriller"
tt1860242,158,The Highwaymen,The Highwaymen,The untold true story of the legendary detectives who brought down Bonnie and Clyde.,2019,112000,6.9,132,R,"Biography,Crime,Drama"
tt4364194,154,The Peanut Butter Falcon,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,2019,117000,7.6,97,PG-13,"Adventure,Comedy,Drama"
tt6292852,175,I Am Mother,I Am Mother,"In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",2019,105000,6.7,113,TV-14,"Drama,Mystery,Sci-Fi"
tt0837563,176,Pet Sematary,Pet Sematary,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",2019,103000,5.7,100,R,"Horror,Mystery,Thriller"
tt9071322,150,Dark Waters,Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,2019,119000,7.6,126,PG-13,"Biography,Drama,History"
tt7939766,165,I'm Thinking of Ending Things,I'm Thinking of Ending Things,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",2020,107000,6.5,134,R,"Drama,Thriller"
