movie_id,rank,title,runtime,year,rating,votes
tt1255919,407,Holmes & Watson,1h 30m,2018,3.9, (41K
tt2639336,408,Greta,1h 38m,2018,6.1, (41K
tt6285944,409,The Banker,2h,2020,7.3, (41K
tt3385524,410,Stan & Ollie,1h 38m,2018,7.2, (41K
tt8633462,411,"Quo Vadis, Aida?",1h 41m,2020,8.0, (41K
tt6697582,412,Arif V 216,2h 5m,2018,6.9, (41K
tt7485048,413,Super 30,2h 34m,2019,7.9, (41K
tt6095472,414,The Angry Birds Movie 2,1h 37m,2019,6.4, (41K
tt8242084,415,My Spy,1h 39m,2020,6.4, (41K
tt6865690,416,The Professor,1h 30m,2018,6.7, (40K
tt1131714,417,Shiva Baby,1h 17m,2020,7.1, (40K
tt7725596,418,Badhaai Ho,2h 4m,2018,7.9, (40K
tt1032414,419,Article 15,2h 10m,2019,8.1, (40K
tt7905466,420,They Shall Not Grow Old,1h 39m,2018,8.2, (40K
tt1052109,421,The Forgotten Battle,2h 4m,2020,7.1, (40K
tt4068576,422,The Nightingale,2h 16m,2018,7.3, (40K
tt7280898,423,22 July,2h 23m,2018,6.8, (40K
tt4964788,424,Everybody Knows,2h 13m,2018,6.9, (40K
tt6269368,425,The Clovehitch Killer,1h 49m,2018,6.5, (40K
tt2076298,426,Ip Man 4: The Finale,1h 47m,2019,7.0, (40K
tt5935704,427,Padmaavat,2h 43m,2018,7.1, (40K
tt4073790,428,The Darkest Minds,1h 44m,2018,5.7, (40K
tt6141246,429,The Aeronauts,1h 40m,2019,6.6, (40K
tt5523010,430,The Nutcracker and the Four Realms,1h 39m,2018,5.6, (40K
tt4878482,431,Dumplin',1h 50m,2018,6.5, (39K
tt5144174,432,The Dry,1h 57m,2020,6.8, (39K
tt7946422,433,Prospect,1h 40m,2018,6.3, (39K
tt1285009,434,The Strangers: Prey at Night,1h 25m,2018,5.3, (39K
tt1464763,435,Mute,2h 6m,2018,5.5, (39K
tt4799066,436,Midnight Sun,1h 31m,2018,6.6, (39K
tt8361028,437,Cam,1h 34m,2018,5.9, (39K
tt9606374,438,On the Rocks,1h 36m,2020,6.4, (39K
tt7608028,439,The Open House,1h 34m,2018,3.3, (39K
tt1105764,440,The Christmas Chronicles: Part Two,1h 52m,2020,6.0, (39K
tt1072748,441,Winchester,1h 39m,2018,5.5, (39K
tt7605074,442,The Wandering Earth,2h 5m,2019,5.9, (39K
tt7430722,443,War,2h 31m,2019,6.6, (39K
tt9398640,444,Between Two Ferns: The Movie,1h 22m,2019,6.1, (39K
tt7547410,445,Dora and the Lost City of Gold,1h 42m,2019,6.1, (38K
tt9806192,446,I Lost My Body,1h 21m,2019,7.5, (38K
tt9086228,447,Gretel & Hansel,1h 27m,2020,5.5, (38K
tt8108274,448,Tanhaji: The Unsung Warrior,2h 15m,2020,7.5, (38K
tt8108268,449,The Tashkent Files,2h 14m,2019,8.1, (38K
tt9340860,450,Let Him Go,1h 53m,2020,6.7, (38K
tt7149730,451,The Silencing,1h 33m,2020,6.3, (38K
tt6513656,452,Escape Plan 2: Hades,1h 33m,2018,3.9, (38K
tt3256226,453,IO,1h 36m,2019,4.8, (38K
tt6218358,454,Calibre,1h 41m,2018,6.8, (37K
tt6802308,455,The 15:17 to Paris,1h 34m,2018,5.3, (37K
tt5501104,456,Border,1h 50m,2018,7.0, (37K
tt4357394,457,Tau,1h 37m,2018,5.8, (37K
tt8722346,458,Queen & Slim,2h 12m,2019,7.1, (37K
tt9477520,459,Asuran,2h 21m,2019,8.4, (37K
tt1298789,460,American Murder: The Family Next Door,1h 23m,2020,7.2, (37K
tt8652728,461,Waves,2h 15m,2019,7.5, (36K
tt7098658,462,Raazi,2h 18m,2018,7.7, (36K
tt1035062,463,Gunjan Saxena: The Kargil Girl,1h 52m,2020,5.5, (36K
tt6436726,464,7500,1h 33m,2019,6.3, (36K
tt6987770,465,Destination Wedding,1h 27m,2018,6.0, (36K
tt7961060,466,Dragon Ball Super: Broly,1h 40m,2018,7.7, (36K
tt1061292,467,One Night in Miami...,1h 54m,2020,7.1, (36K
tt3317234,468,"Game Over, Man!",1h 41m,2018,5.5, (35K
tt4648786,469,Harriet,2h 5m,2019,6.7, (35K
tt4986098,470,The Titan,1h 37m,2018,4.8, (35K
tt7711170,471,Alone,1h 38m,2020,6.2, (35K
tt6857166,472,Book Club,1h 44m,2018,6.1, (34K
tt4995776,473,The Red Sea Diving Resort,2h 9m,2019,6.6, (34K
tt7634968,474,What Men Want,1h 57m,2019,5.4, (34K
tt7242142,475,Blindspotting,1h 35m,2018,7.4, (34K
